learning_model,learning_model_gr_k5,learning_model_gr68,learning_model_gr912,time_period_start,time_period_end,enrollment_total,enrollment_in_person,enrollment_hybrid,enrollment_virtual,staff_count,staff_count_in_person
In-Person,In-person,In-person,In-person,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,64,NA,NA,NA,20,NA
In-Person,In-person,In-person,In-person,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,64,NA,NA,NA,20,NA
In-Person,In-person,In-person,In-person,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,64,NA,NA,NA,20,NA
In-Person,In-person,In-person,In-person,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,64,NA,NA,NA,20,NA
In-Person,In-person,In-person,In-person,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,64,NA,NA,NA,20,NA
In-Person,In-person,In-person,In-person,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,64,NA,NA,NA,20,NA
In-Person,In-person,In-person,In-person,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,376,NA,NA,NA,96,NA
In-Person,In-person,In-person,In-person,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,376,NA,NA,NA,96,NA
In-Person,In-person,In-person,In-person,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,376,NA,NA,NA,96,NA
In-Person,In-person,In-person,In-person,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,376,NA,NA,NA,96,NA
In-Person,In-person,In-person,In-person,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,376,NA,NA,NA,96,NA
In-Person,In-person,In-person,In-person,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,376,NA,NA,NA,96,NA
In-Person,In-person,In-person,In-person,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,376,NA,NA,NA,96,NA
In-Person,In-person,In-person,In-person,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,376,NA,NA,NA,96,NA
In-Person,In-person,In-person,In-person,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,376,NA,NA,NA,96,NA
In-Person,In-person,In-person,In-person,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,376,NA,NA,NA,96,NA
Hybrid,Hybrid,Hybrid,Hybrid,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,2176,NA,NA,NA,286,NA
Hybrid,Hybrid,Hybrid,Hybrid,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,2176,NA,NA,NA,286,NA
In-Person,In-person,In-person,In-person,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,2176,NA,NA,NA,286,NA
Virtual,In-person,Virtual,Virtual,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,2176,NA,NA,NA,286,NA
Hybrid,In-person,Hybrid,Hybrid,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,2176,NA,NA,NA,286,NA
In-Person,In-person,In-person,In-person,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,2176,NA,NA,NA,286,NA
In-Person,In-person,In-person,In-person,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,2176,NA,NA,NA,286,NA
In-Person,In-person,In-person,In-person,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,2176,NA,NA,NA,286,NA
In-Person,In-person,In-person,In-person,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,2176,NA,NA,NA,286,NA
In-Person,In-person,In-person,In-person,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,2176,NA,NA,NA,286,NA
Hybrid,Hybrid,Hybrid,Hybrid,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,1599,NA,NA,NA,251,NA
Hybrid,Hybrid,Hybrid,Hybrid,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,1599,NA,NA,NA,251,NA
Hybrid,Hybrid,Hybrid,Hybrid,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,1599,NA,NA,NA,251,NA
Hybrid,Hybrid,Hybrid,Hybrid,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,1599,NA,NA,NA,251,NA
Virtual,Virtual,Virtual,Virtual,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,1599,NA,NA,NA,251,NA
Hybrid,Hybrid,Hybrid,Hybrid,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,1599,NA,NA,NA,251,NA
Hybrid,Hybrid,Hybrid,Hybrid,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,1599,NA,NA,NA,251,NA
Hybrid,Hybrid,Hybrid,Hybrid,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,1599,NA,NA,NA,251,NA
Hybrid,Hybrid,Hybrid,Hybrid,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,1599,NA,NA,NA,251,NA
Hybrid,Hybrid,Hybrid,Hybrid,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,1599,NA,NA,NA,251,NA
In-Person,In-person,In-person,In-person,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,87,NA,NA,NA,28,NA
In-Person,In-person,In-person,In-person,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,87,NA,NA,NA,28,NA
In-Person,In-person,In-person,In-person,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,87,NA,NA,NA,28,NA
In-Person,In-person,In-person,In-person,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,87,NA,NA,NA,28,NA
In-Person,In-person,In-person,In-person,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,87,NA,NA,NA,28,NA
In-Person,In-person,In-person,In-person,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,87,NA,NA,NA,28,NA
In-Person,In-person,In-person,In-person,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,87,NA,NA,NA,28,NA
In-Person,In-person,In-person,In-person,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,87,NA,NA,NA,28,NA
In-Person,In-person,In-person,In-person,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,87,NA,NA,NA,28,NA
In-Person,In-person,In-person,In-person,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,87,NA,NA,NA,28,NA
In-Person,In-person,In-person,In-person,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,140,NA,NA,NA,41,NA
In-Person,In-person,In-person,In-person,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,140,NA,NA,NA,41,NA
In-Person,In-person,In-person,In-person,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,140,NA,NA,NA,41,NA
Virtual,Virtual,Virtual,Virtual,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,140,NA,NA,NA,41,NA
In-Person,In-person,In-person,In-person,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,140,NA,NA,NA,41,NA
In-Person,In-person,In-person,In-person,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,140,NA,NA,NA,41,NA
In-Person,In-person,In-person,In-person,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,140,NA,NA,NA,41,NA
In-Person,In-person,In-person,In-person,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,140,NA,NA,NA,41,NA
In-Person,In-person,In-person,In-person,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,140,NA,NA,NA,41,NA
In-Person,In-person,In-person,In-person,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,140,NA,NA,NA,41,NA
Virtual,Hybrid,Virtual,Virtual,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,1576,NA,NA,NA,291,NA
Virtual,Hybrid,Virtual,Virtual,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,1576,NA,NA,NA,291,NA
Virtual,In-person,Virtual,Virtual,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,1576,NA,NA,NA,291,NA
Hybrid,In-person,Hybrid,Hybrid,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,1576,NA,NA,NA,291,NA
Hybrid,In-person,Hybrid,Hybrid,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,1576,NA,NA,NA,291,NA
Hybrid,In-person,Hybrid,Hybrid,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,1576,NA,NA,NA,291,NA
Hybrid,In-person,Hybrid,Hybrid,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,1576,NA,NA,NA,291,NA
In-Person,In-person,In-person,In-person,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,1576,NA,NA,NA,291,NA
In-Person,In-person,In-person,In-person,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,1576,NA,NA,NA,291,NA
In-Person,In-person,In-person,In-person,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,1576,NA,NA,NA,291,NA
In-Person,In-person,In-person,In-person,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,901,NA,NA,NA,146,NA
In-Person,In-person,In-person,In-person,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,901,NA,NA,NA,146,NA
In-Person,In-person,In-person,In-person,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,901,NA,NA,NA,146,NA
In-Person,In-person,In-person,In-person,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,901,NA,NA,NA,146,NA
In-Person,In-person,In-person,In-person,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,901,NA,NA,NA,146,NA
In-Person,In-person,In-person,In-person,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,901,NA,NA,NA,146,NA
In-Person,In-person,In-person,In-person,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,901,NA,NA,NA,146,NA
In-Person,In-person,In-person,In-person,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,901,NA,NA,NA,146,NA
In-Person,In-person,In-person,In-person,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,901,NA,NA,NA,146,NA
In-Person,In-person,In-person,In-person,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,901,NA,NA,NA,146,NA
In-Person,In-person,In-person,In-person,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,1314,NA,NA,NA,213,NA
In-Person,In-person,In-person,In-person,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,1314,NA,NA,NA,213,NA
In-Person,In-person,In-person,In-person,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,1314,NA,NA,NA,213,NA
In-Person,In-person,In-person,In-person,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,1314,NA,NA,NA,213,NA
In-Person,In-person,In-person,In-person,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,1314,NA,NA,NA,213,NA
In-Person,In-person,In-person,In-person,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,1314,NA,NA,NA,213,NA
In-Person,In-person,In-person,In-person,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,1314,NA,NA,NA,213,NA
In-Person,In-person,In-person,In-person,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,1314,NA,NA,NA,213,NA
In-Person,In-person,In-person,In-person,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,1314,NA,NA,NA,213,NA
In-Person,In-person,In-person,In-person,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,1314,NA,NA,NA,213,NA
In-Person,In-person,In-person,In-person,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,1132,NA,NA,NA,141,NA
In-Person,In-person,In-person,In-person,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,1132,NA,NA,NA,141,NA
In-Person,In-person,In-person,In-person,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,1132,NA,NA,NA,141,NA
Hybrid,Hybrid,Hybrid,Hybrid,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,1132,NA,NA,NA,141,NA
Virtual,Virtual,Virtual,Virtual,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,1132,NA,NA,NA,141,NA
In-Person,In-person,In-person,In-person,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,1132,NA,NA,NA,141,NA
In-Person,In-person,In-person,In-person,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,1132,NA,NA,NA,141,NA
In-Person,In-person,In-person,In-person,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,1132,NA,NA,NA,141,NA
In-Person,In-person,In-person,In-person,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,1132,NA,NA,NA,141,NA
In-Person,In-person,In-person,In-person,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,1132,NA,NA,NA,141,NA
In-Person,In-person,In-person,In-person,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,101,NA,NA,NA,31,NA
In-Person,In-person,In-person,In-person,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,101,NA,NA,NA,31,NA
In-Person,In-person,In-person,In-person,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,101,NA,NA,NA,31,NA
In-Person,In-person,In-person,In-person,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,101,NA,NA,NA,31,NA
In-Person,In-person,In-person,In-person,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,101,NA,NA,NA,31,NA
In-Person,In-person,In-person,In-person,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,101,NA,NA,NA,31,NA
In-Person,In-person,In-person,In-person,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,101,NA,NA,NA,31,NA
In-Person,In-person,In-person,In-person,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,101,NA,NA,NA,31,NA
In-Person,In-person,In-person,In-person,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,101,NA,NA,NA,31,NA
In-Person,In-person,In-person,In-person,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,101,NA,NA,NA,31,NA
In-Person,In-person,In-person,In-person,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,279,NA,NA,NA,57,NA
In-Person,In-person,In-person,In-person,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,279,NA,NA,NA,57,NA
In-Person,In-person,In-person,In-person,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,279,NA,NA,NA,57,NA
In-Person,In-person,In-person,In-person,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,279,NA,NA,NA,57,NA
In-Person,In-person,In-person,In-person,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,279,NA,NA,NA,57,NA
In-Person,In-person,In-person,In-person,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,279,NA,NA,NA,57,NA
In-Person,In-person,In-person,In-person,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,279,NA,NA,NA,57,NA
In-Person,In-person,In-person,In-person,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,279,NA,NA,NA,57,NA
In-Person,In-person,In-person,In-person,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,279,NA,NA,NA,57,NA
In-Person,In-person,In-person,In-person,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,279,NA,NA,NA,57,NA
Virtual,Hybrid,Virtual,Virtual,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,28511,NA,NA,NA,4205,NA
Virtual,Hybrid,Virtual,Virtual,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,28511,NA,NA,NA,4205,NA
Virtual,Hybrid,Virtual,Virtual,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,28511,NA,NA,NA,4205,NA
Virtual,Virtual,Virtual,Virtual,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,28511,NA,NA,NA,4205,NA
Virtual,Virtual,Virtual,Virtual,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,28511,NA,NA,NA,4205,NA
Hybrid,Hybrid,Hybrid,Hybrid,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,28511,NA,NA,NA,4205,NA
Hybrid,Hybrid,Hybrid,Hybrid,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,28511,NA,NA,NA,4205,NA
Hybrid,Hybrid,Hybrid,Hybrid,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,28511,NA,NA,NA,4205,NA
Hybrid,Hybrid,Hybrid,Hybrid,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,28511,NA,NA,NA,4205,NA
Hybrid,Hybrid,Hybrid,Hybrid,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,28511,NA,NA,NA,4205,NA
In-Person,In-person,In-person,In-person,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,594,NA,NA,NA,55,NA
In-Person,In-person,In-person,In-person,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,594,NA,NA,NA,55,NA
In-Person,In-person,In-person,In-person,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,594,NA,NA,NA,55,NA
In-Person,In-person,In-person,In-person,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,594,NA,NA,NA,55,NA
In-Person,In-person,In-person,In-person,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,594,NA,NA,NA,55,NA
In-Person,In-person,In-person,In-person,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,594,NA,NA,NA,55,NA
In-Person,In-person,In-person,In-person,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,594,NA,NA,NA,55,NA
In-Person,In-person,In-person,In-person,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,594,NA,NA,NA,55,NA
In-Person,In-person,In-person,In-person,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,594,NA,NA,NA,55,NA
In-Person,In-person,In-person,In-person,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,594,NA,NA,NA,55,NA
In-Person,In-person,In-person,In-person,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,158,NA,NA,NA,46,NA
In-Person,In-person,In-person,In-person,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,158,NA,NA,NA,46,NA
In-Person,In-person,In-person,In-person,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,158,NA,NA,NA,46,NA
In-Person,In-person,In-person,In-person,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,158,NA,NA,NA,46,NA
In-Person,In-person,In-person,In-person,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,158,NA,NA,NA,46,NA
Hybrid,In-person,Hybrid,Hybrid,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,158,NA,NA,NA,46,NA
Hybrid,In-person,Hybrid,Hybrid,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,158,NA,NA,NA,46,NA
In-Person,In-person,In-person,In-person,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,158,NA,NA,NA,46,NA
In-Person,In-person,In-person,In-person,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,158,NA,NA,NA,46,NA
In-Person,In-person,In-person,In-person,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,158,NA,NA,NA,46,NA
In-Person,In-person,In-person,In-person,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,1237,NA,NA,NA,209,NA
In-Person,In-person,In-person,In-person,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,1237,NA,NA,NA,209,NA
In-Person,In-person,In-person,In-person,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,1237,NA,NA,NA,209,NA
Virtual,In-person,Virtual,Virtual,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,1237,NA,NA,NA,209,NA
In-Person,In-person,In-person,In-person,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,1237,NA,NA,NA,209,NA
In-Person,In-person,In-person,In-person,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,1237,NA,NA,NA,209,NA
In-Person,In-person,In-person,In-person,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,1237,NA,NA,NA,209,NA
In-Person,In-person,In-person,In-person,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,1237,NA,NA,NA,209,NA
In-Person,In-person,In-person,In-person,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,1237,NA,NA,NA,209,NA
In-Person,In-person,In-person,In-person,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,1237,NA,NA,NA,209,NA
In-Person,In-person,In-person,In-person,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,889,NA,NA,NA,193,NA
In-Person,In-person,In-person,In-person,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,889,NA,NA,NA,193,NA
In-Person,In-person,In-person,In-person,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,889,NA,NA,NA,193,NA
In-Person,In-person,In-person,In-person,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,889,NA,NA,NA,193,NA
In-Person,In-person,In-person,In-person,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,889,NA,NA,NA,193,NA
In-Person,In-person,In-person,In-person,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,889,NA,NA,NA,193,NA
In-Person,In-person,In-person,In-person,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,889,NA,NA,NA,193,NA
In-Person,In-person,In-person,In-person,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,889,NA,NA,NA,193,NA
In-Person,In-person,In-person,In-person,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,889,NA,NA,NA,193,NA
In-Person,In-person,In-person,In-person,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,889,NA,NA,NA,193,NA
In-Person,In-person,In-person,In-person,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,308,NA,NA,NA,51,NA
