learning_model,learning_model_gr_k5,learning_model_gr68,learning_model_gr912,time_period_start,time_period_end,enrollment_total,enrollment_in_person,enrollment_hybrid,enrollment_virtual,staff_count,staff_count_in_person
Closed,NA,NA,NA,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,119,NA,NA,NA,27,NA
In-Person,In-person,NA,NA,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,119,NA,NA,NA,27,NA
In-Person,In-person,NA,NA,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,119,NA,NA,NA,27,NA
In-Person,In-person,NA,NA,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,119,NA,NA,NA,27,NA
In-Person,In-person,NA,NA,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,119,NA,NA,NA,27,NA
In-Person,In-person,NA,NA,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,119,NA,NA,NA,27,NA
In-Person,In-person,NA,NA,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,119,NA,NA,NA,27,NA
In-Person,In-person,NA,NA,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,119,NA,NA,NA,27,NA
In-Person,In-person,NA,NA,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,119,NA,NA,NA,27,NA
In-Person,In-person,NA,NA,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,119,NA,NA,NA,27,NA
In-Person,In-person,NA,NA,2021-06-01T00:00:00Z,2021-06-30T00:00:00Z,119,NA,NA,NA,27,NA
Closed,NA,NA,NA,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,97,NA,NA,NA,56,NA
Virtual,NA,NA,Virtual,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,97,NA,NA,NA,56,NA
Hybrid,NA,NA,Hybrid,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,97,NA,NA,NA,56,NA
Hybrid,NA,NA,Hybrid,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,97,NA,NA,NA,56,NA
Hybrid,NA,NA,Hybrid,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,97,NA,NA,NA,56,NA
Hybrid,NA,NA,Hybrid,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,97,NA,NA,NA,56,NA
Hybrid,NA,NA,Hybrid,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,97,NA,NA,NA,56,NA
Hybrid,NA,NA,Hybrid,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,97,NA,NA,NA,56,NA
In-Person,NA,NA,In-person,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,97,NA,NA,NA,56,NA
In-Person,NA,NA,In-person,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,97,NA,NA,NA,56,NA
In-Person,NA,NA,In-person,2021-06-01T00:00:00Z,2021-06-30T00:00:00Z,97,NA,NA,NA,56,NA
In-Person,In-person,NA,NA,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,312,NA,NA,NA,87,NA
In-Person,In-person,NA,NA,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,312,NA,NA,NA,87,NA
In-Person,In-person,NA,NA,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,312,NA,NA,NA,87,NA
In-Person,In-person,NA,NA,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,312,NA,NA,NA,87,NA
In-Person,In-person,NA,NA,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,312,NA,NA,NA,87,NA
In-Person,In-person,NA,NA,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,312,NA,NA,NA,87,NA
In-Person,In-person,NA,NA,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,312,NA,NA,NA,87,NA
In-Person,In-person,NA,NA,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,312,NA,NA,NA,87,NA
In-Person,In-person,NA,NA,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,312,NA,NA,NA,87,NA
In-Person,In-person,NA,NA,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,312,NA,NA,NA,87,NA
Closed,NA,NA,NA,2021-06-01T00:00:00Z,2021-06-30T00:00:00Z,312,NA,NA,NA,87,NA
In-Person,NA,In-person,In-person,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,304,NA,NA,NA,99,NA
In-Person,NA,In-person,In-person,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,304,NA,NA,NA,99,NA
In-Person,NA,In-person,In-person,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,304,NA,NA,NA,99,NA
In-Person,NA,In-person,In-person,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,304,NA,NA,NA,99,NA
In-Person,NA,In-person,In-person,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,304,NA,NA,NA,99,NA
In-Person,NA,In-person,In-person,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,304,NA,NA,NA,99,NA
In-Person,NA,In-person,In-person,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,304,NA,NA,NA,99,NA
In-Person,NA,In-person,In-person,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,304,NA,NA,NA,99,NA
In-Person,NA,In-person,In-person,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,304,NA,NA,NA,99,NA
In-Person,NA,In-person,In-person,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,304,NA,NA,NA,99,NA
Virtual,NA,Virtual,Virtual,2021-06-01T00:00:00Z,2021-06-30T00:00:00Z,304,NA,NA,NA,99,NA
Hybrid,Hybrid,NA,NA,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,299,NA,NA,NA,51,NA
Hybrid,Hybrid,NA,NA,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,299,NA,NA,NA,51,NA
Hybrid,Hybrid,NA,NA,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,299,NA,NA,NA,51,NA
Hybrid,Hybrid,NA,NA,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,299,NA,NA,NA,51,NA
Virtual,Virtual,NA,NA,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,299,NA,NA,NA,51,NA
Hybrid,Hybrid,NA,NA,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,299,NA,NA,NA,51,NA
Hybrid,Hybrid,NA,NA,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,299,NA,NA,NA,51,NA
Hybrid,Hybrid,NA,NA,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,299,NA,NA,NA,51,NA
In-Person,In-person,NA,NA,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,299,NA,NA,NA,51,NA
In-Person,In-person,NA,NA,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,299,NA,NA,NA,51,NA
Closed,NA,NA,NA,2021-06-01T00:00:00Z,2021-06-30T00:00:00Z,299,NA,NA,NA,51,NA
Hybrid,NA,Hybrid,Hybrid,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,258,NA,NA,NA,43,NA
Hybrid,NA,Hybrid,Hybrid,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,258,NA,NA,NA,43,NA
Hybrid,NA,Hybrid,Hybrid,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,258,NA,NA,NA,43,NA
Hybrid,NA,Hybrid,Hybrid,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,258,NA,NA,NA,43,NA
Virtual,NA,Virtual,Virtual,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,258,NA,NA,NA,43,NA
Hybrid,NA,Hybrid,Hybrid,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,258,NA,NA,NA,43,NA
Hybrid,NA,Hybrid,Hybrid,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,258,NA,NA,NA,43,NA
Hybrid,NA,Hybrid,Hybrid,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,258,NA,NA,NA,43,NA
In-Person,NA,In-person,In-person,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,258,NA,NA,NA,43,NA
In-Person,NA,In-person,In-person,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,258,NA,NA,NA,43,NA
Closed,NA,NA,NA,2021-06-01T00:00:00Z,2021-06-30T00:00:00Z,258,NA,NA,NA,43,NA
In-Person,In-person,In-person,NA,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,156,NA,NA,NA,40,NA
In-Person,In-person,In-person,NA,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,156,NA,NA,NA,40,NA
In-Person,In-person,In-person,NA,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,156,NA,NA,NA,40,NA
In-Person,In-person,In-person,NA,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,156,NA,NA,NA,40,NA
In-Person,In-person,In-person,NA,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,156,NA,NA,NA,40,NA
In-Person,In-person,In-person,NA,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,156,NA,NA,NA,40,NA
In-Person,In-person,In-person,NA,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,156,NA,NA,NA,40,NA
In-Person,In-person,In-person,NA,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,156,NA,NA,NA,40,NA
In-Person,In-person,In-person,NA,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,156,NA,NA,NA,40,NA
In-Person,In-person,In-person,NA,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,156,NA,NA,NA,40,NA
Closed,NA,NA,NA,2021-06-01T00:00:00Z,2021-06-30T00:00:00Z,156,NA,NA,NA,40,NA
Closed,NA,NA,NA,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,70,NA,NA,NA,36,NA
In-Person,NA,NA,In-person,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,70,NA,NA,NA,36,NA
In-Person,NA,NA,In-person,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,70,NA,NA,NA,36,NA
In-Person,NA,NA,In-person,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,70,NA,NA,NA,36,NA
In-Person,NA,NA,In-person,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,70,NA,NA,NA,36,NA
In-Person,NA,NA,In-person,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,70,NA,NA,NA,36,NA
In-Person,NA,NA,In-person,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,70,NA,NA,NA,36,NA
In-Person,NA,NA,In-person,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,70,NA,NA,NA,36,NA
In-Person,NA,NA,In-person,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,70,NA,NA,NA,36,NA
In-Person,NA,NA,In-person,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,70,NA,NA,NA,36,NA
In-Person,NA,NA,In-person,2021-06-01T00:00:00Z,2021-06-30T00:00:00Z,70,NA,NA,NA,36,NA
Closed,NA,NA,NA,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,147,NA,NA,NA,37,NA
In-Person,In-person,NA,NA,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,147,NA,NA,NA,37,NA
Hybrid,Hybrid,NA,NA,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,147,NA,NA,NA,37,NA
Hybrid,Hybrid,NA,NA,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,147,NA,NA,NA,37,NA
Hybrid,Hybrid,NA,NA,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,147,NA,NA,NA,37,NA
Hybrid,Hybrid,NA,NA,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,147,NA,NA,NA,37,NA
Hybrid,Hybrid,NA,NA,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,147,NA,NA,NA,37,NA
Hybrid,Hybrid,NA,NA,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,147,NA,NA,NA,37,NA
Hybrid,Hybrid,NA,NA,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,147,NA,NA,NA,37,NA
Hybrid,Hybrid,NA,NA,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,147,NA,NA,NA,37,NA
Hybrid,Hybrid,NA,NA,2021-06-01T00:00:00Z,2021-06-30T00:00:00Z,147,NA,NA,NA,37,NA
Closed,NA,NA,NA,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,111,NA,NA,NA,43,NA
In-Person,NA,NA,In-person,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,111,NA,NA,NA,43,NA
Hybrid,NA,NA,Hybrid,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,111,NA,NA,NA,43,NA
Hybrid,NA,NA,Hybrid,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,111,NA,NA,NA,43,NA
Hybrid,NA,NA,Hybrid,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,111,NA,NA,NA,43,NA
Hybrid,NA,NA,Hybrid,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,111,NA,NA,NA,43,NA
Hybrid,NA,NA,Hybrid,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,111,NA,NA,NA,43,NA
Hybrid,NA,NA,Hybrid,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,111,NA,NA,NA,43,NA
Hybrid,NA,NA,Hybrid,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,111,NA,NA,NA,43,NA
Hybrid,NA,NA,Hybrid,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,111,NA,NA,NA,43,NA
Hybrid,NA,NA,Hybrid,2021-06-01T00:00:00Z,2021-06-30T00:00:00Z,111,NA,NA,NA,43,NA
Closed,NA,NA,NA,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,85,NA,NA,NA,17,NA
In-Person,NA,In-person,NA,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,85,NA,NA,NA,17,NA
Hybrid,NA,Hybrid,NA,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,85,NA,NA,NA,17,NA
Hybrid,NA,Hybrid,NA,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,85,NA,NA,NA,17,NA
Hybrid,NA,Hybrid,NA,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,85,NA,NA,NA,17,NA
Hybrid,NA,Hybrid,NA,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,85,NA,NA,NA,17,NA
Hybrid,NA,Hybrid,NA,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,85,NA,NA,NA,17,NA
Hybrid,NA,Hybrid,NA,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,85,NA,NA,NA,17,NA
Hybrid,NA,Hybrid,NA,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,85,NA,NA,NA,17,NA
Hybrid,NA,Hybrid,NA,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,85,NA,NA,NA,17,NA
Hybrid,NA,Hybrid,NA,2021-06-01T00:00:00Z,2021-06-30T00:00:00Z,85,NA,NA,NA,17,NA
Closed,NA,NA,NA,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,551,NA,NA,NA,70,NA
In-Person,In-person,NA,NA,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,551,NA,NA,NA,70,NA
In-Person,In-person,NA,NA,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,551,NA,NA,NA,70,NA
In-Person,In-person,NA,NA,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,551,NA,NA,NA,70,NA
In-Person,In-person,NA,NA,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,551,NA,NA,NA,70,NA
Hybrid,Hybrid,NA,NA,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,551,NA,NA,NA,70,NA
Hybrid,Hybrid,NA,NA,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,551,NA,NA,NA,70,NA
Hybrid,Hybrid,NA,NA,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,551,NA,NA,NA,70,NA
Hybrid,Hybrid,NA,NA,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,551,NA,NA,NA,70,NA
Hybrid,Hybrid,NA,NA,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,551,NA,NA,NA,70,NA
Hybrid,Hybrid,NA,NA,2021-06-01T00:00:00Z,2021-06-30T00:00:00Z,551,NA,NA,NA,70,NA
Closed,NA,NA,NA,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,490,NA,NA,NA,53,NA
Hybrid,NA,NA,Hybrid,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,490,NA,NA,NA,53,NA
Hybrid,NA,NA,Hybrid,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,490,NA,NA,NA,53,NA
Hybrid,NA,NA,Hybrid,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,490,NA,NA,NA,53,NA
Hybrid,NA,NA,Hybrid,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,490,NA,NA,NA,53,NA
Hybrid,NA,NA,Hybrid,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,490,NA,NA,NA,53,NA
Hybrid,NA,NA,Hybrid,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,490,NA,NA,NA,53,NA
Hybrid,NA,NA,Hybrid,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,490,NA,NA,NA,53,NA
In-Person,NA,NA,In-person,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,490,NA,NA,NA,53,NA
In-Person,NA,NA,In-person,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,490,NA,NA,NA,53,NA
In-Person,NA,NA,In-person,2021-06-01T00:00:00Z,2021-06-30T00:00:00Z,490,NA,NA,NA,53,NA
Hybrid,Hybrid,NA,NA,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,246,NA,NA,NA,26,NA
