"Loss of Employment Income, Household Pulse Survey","","","","","","",""
"Adults in households where someone had a loss in employment income since March 13, 2020","","","","","","",""
"","","Total Loss of Employment Income","","Percent Loss of Employment Income","","",""
"Rhode Island","7 - June 11-16, 2020","359561","40679","44.2","5","812581","817,559"
"South Carolina","7 - June 11-16, 2020","1880006","226468","47.7","5.6","3944001","3,969,123"
"South Dakota","7 - June 11-16, 2020","250430","42317","39","6.6","642658","642,658"
"Tennessee","7 - June 11-16, 2020","2422009","269587","46.5","5.2","5208805","5,221,475"
"Texas","7 - June 11-16, 2020","10529000","648071","49.4","3","21325186","21,356,906"
"Utah","7 - June 11-16, 2020","852374","84539","37.4","3.7","2279022","2,281,207"
"Vermont","7 - June 11-16, 2020","220535","20148","45.5","4.2","484626","485,485"
"Virginia","7 - June 11-16, 2020","2309270","258695","36","4","6407287","6,472,737"
"Washington","7 - June 11-16, 2020","2936663","179613","50","3","5878716","5,890,357"
"West Virginia","7 - June 11-16, 2020","609704","86219","44.2","6.3","1378573","1,379,576"
"Wisconsin","7 - June 11-16, 2020","1795651","173573","40.5","3.9","4438719","4,438,719"
"Wyoming","7 - June 11-16, 2020","154041","18665","35.6","4.3","432274","433,400"
" -> Metro Areas","","","","","","","--"
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","7 - June 11-16, 2020","2259180","231753","50.5","4.3","4478053","4,479,892"
"Boston-Cambridge-Newton, MA-NH Metro Area","7 - June 11-16, 2020","1723410","158637","47.7","3.5","3611823","3,645,033"
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","7 - June 11-16, 2020","3700813","289146","53.2","3.4","6954461","7,002,509"
"Dallas-Fort Worth-Arlington, TX Metro Area","7 - June 11-16, 2020","3121305","369762","51.7","4.9","6035073","6,047,865"
"Detroit-Warren-Dearborn, MI Metro Area","7 - June 11-16, 2020","1920497","204281","55.4","5.2","3464034","3,466,514"
"Houston-The Woodlands-Sugar Land, TX Metro Area","7 - June 11-16, 2020","3102695","625637","54","6.2","5749678","5,760,948"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","7 - June 11-16, 2020","6520661","657477","60","4.3","10863901","10,891,729"
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","7 - June 11-16, 2020","2591393","296604","54.9","5.6","4723107","4,732,724"
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","7 - June 11-16, 2020","7896544","568240","54.6","3.6","14453964","14,548,330"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","7 - June 11-16, 2020","2458652","310036","49.7","5.2","4943620","5,004,652"
"Phoenix-Mesa-Chandler, AZ Metro Area","7 - June 11-16, 2020","1708731","220784","44.7","4.7","3826132","3,836,956"
"Riverside-San Bernardino-Ontario, CA Metro Area","7 - June 11-16, 2020","2286639","393771","58.5","5","3911451","3,922,098"
"San Francisco-Oakland-Berkeley, CA Metro Area","7 - June 11-16, 2020","1793290","304909","50.4","5.4","3556484","3,558,335"
"Seattle-Tacoma-Bellevue, WA Metro Area","7 - June 11-16, 2020","1643757","184612","50.9","4.6","3226493","3,237,492"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","7 - June 11-16, 2020","1746999","221203","37.7","4.2","4635578","4,706,409"
"Source: U.S. Census Bureau, Household Pulse Survey","","","","","","",""
