"Loss of Employment Income, Household Pulse Survey","","","","","","",""
"Adults in households where someone had a loss in employment income since March 13, 2020","","","","","","",""
"","","Total Loss of Employment Income","","Percent Loss of Employment Income","","",""
"Louisiana","10 - July 2-7, 2020","1830336","104544","53.8","3.1","3403977","3,431,432"
"Maine","10 - July 2-7, 2020","508902","49964","48","4.7","1060104","1,065,620"
"Maryland","10 - July 2-7, 2020","2336828","145412","51","3.2","4577958","4,586,920"
"Massachusetts","10 - July 2-7, 2020","2612655","187414","49.3","3.5","5295779","5,324,065"
"Michigan","10 - July 2-7, 2020","3977977","202350","52.2","2.6","7617016","7,644,458"
"Minnesota","10 - July 2-7, 2020","1832406","126802","43.4","3","4225978","4,241,624"
"Mississippi","10 - July 2-7, 2020","1032789","99069","47.3","4.5","2181445","2,189,670"
"Missouri","10 - July 2-7, 2020","2311384","171497","50.4","3.7","4589723","4,617,880"
"Montana","10 - July 2-7, 2020","346374","42779","42.3","5.2","819535","822,204"
"Nebraska","10 - July 2-7, 2020","568717","50698","40.1","3.6","1417795","1,418,191"
"Nevada","10 - July 2-7, 2020","1424719","86818","59.7","3.7","2388143","2,399,457"
"New Hampshire","10 - July 2-7, 2020","530920","40388","49.6","3.8","1070279","1,073,014"
"New Jersey","10 - July 2-7, 2020","3544761","259130","53","3.8","6690894","6,776,822"
"New Mexico","10 - July 2-7, 2020","675910","66021","43","4","1571955","1,589,574"
"New York","10 - July 2-7, 2020","8520617","400395","58.2","2.6","14641714","14,847,080"
"North Carolina","10 - July 2-7, 2020","3832842","256540","48","3.2","7991642","8,017,566"
"North Dakota","10 - July 2-7, 2020","200671","30926","36.1","5.5","555183","561,016"
"Ohio","10 - July 2-7, 2020","3984605","427393","45.5","5","8751868","8,822,539"
"Oklahoma","10 - July 2-7, 2020","1259374","109319","43.3","3.8","2909814","2,916,436"
"Oregon","10 - July 2-7, 2020","1673363","94473","50.8","2.9","3291520","3,302,727"
"Pennsylvania","10 - July 2-7, 2020","4877499","276804","50","2.8","9763857","9,776,154"
"Rhode Island","10 - July 2-7, 2020","403093","30114","49.5","3.7","814327","817,559"
"South Carolina","10 - July 2-7, 2020","1774463","144544","45.1","3.7","3932959","3,969,123"
"South Dakota","10 - July 2-7, 2020","270238","28440","42.1","4.4","641261","642,658"
"Tennessee","10 - July 2-7, 2020","2605244","178646","50.3","3.4","5181865","5,221,475"
"Texas","10 - July 2-7, 2020","10767993","479359","50.9","2.3","21148581","21,356,906"
"Utah","10 - July 2-7, 2020","992364","75783","43.7","3.3","2272695","2,281,207"
"Vermont","10 - July 2-7, 2020","225759","23827","46.6","4.9","484890","485,485"
"Virginia","10 - July 2-7, 2020","2724857","224382","42.2","3.5","6464262","6,472,737"
"Washington","10 - July 2-7, 2020","2677224","210608","45.8","3.5","5847006","5,890,357"
"West Virginia","10 - July 2-7, 2020","575052","58911","41.9","4.3","1373591","1,379,576"
"Wisconsin","10 - July 2-7, 2020","2155258","174603","48.6","3.9","4430283","4,438,719"
"Wyoming","10 - July 2-7, 2020","196339","22022","45.6","5","430116","433,400"
" -> Metro Areas","","","","","","","--"
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","10 - July 2-7, 2020","2512458","251284","56.1","3.9","4479140","4,486,856"
"Boston-Cambridge-Newton, MA-NH Metro Area","10 - July 2-7, 2020","1890609","171229","50.7","3.4","3726363","3,749,859"
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","10 - July 2-7, 2020","3211901","235053","45.2","3.1","7105472","7,129,021"
"Dallas-Fort Worth-Arlington, TX Metro Area","10 - July 2-7, 2020","2683710","292249","47.9","4.3","5596967","5,624,356"
"Detroit-Warren-Dearborn, MI Metro Area","10 - July 2-7, 2020","1955146","193431","52.6","4","3716552","3,731,690"
"Houston-The Woodlands-Sugar Land, TX Metro Area","10 - July 2-7, 2020","2941151","299765","55.8","3.9","5273072","5,350,395"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","10 - July 2-7, 2020","6135376","518095","59.4","3.2","10327869","10,385,710"
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","10 - July 2-7, 2020","2843048","273278","57.3","4.3","4964188","4,984,689"
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","10 - July 2-7, 2020","8189005","572048","59.1","2.8","13867246","14,044,650"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","10 - July 2-7, 2020","2684501","205257","51.9","3.7","5176517","5,185,856"
"Phoenix-Mesa-Chandler, AZ Metro Area","10 - July 2-7, 2020","1798722","186297","45.9","3.5","3920752","3,946,477"
"Riverside-San Bernardino-Ontario, CA Metro Area","10 - July 2-7, 2020","2502661","346547","59.7","5","4190084","4,201,530"
"San Francisco-Oakland-Berkeley, CA Metro Area","10 - July 2-7, 2020","1623787","228521","47","4.9","3456536","3,460,016"
"Seattle-Tacoma-Bellevue, WA Metro Area","10 - July 2-7, 2020","1462947","136114","45.8","3.6","3195885","3,238,953"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","10 - July 2-7, 2020","2137917","218634","45.3","3","4719086","4,735,225"
"Source: U.S. Census Bureau, Household Pulse Survey","","","","","","",""
