"Loss of Employment Income, Household Pulse Survey","","","","","","",""
"Adults in households where someone had a loss in employment income since March 13, 2020","","","","","","",""
"","","Total Loss of Employment Income","","Percent Loss of Employment Income","","",""
"New Jersey","2 - May 7-12, 2020","3831063","328656","56.6","4.9","6771253","6,776,822"
"New Mexico","2 - May 7-12, 2020","670980","108952","42.4","6.9","1582908","1,589,574"
"New York","2 - May 7-12, 2020","7832513","633225","53","4.3","14786827","14,847,080"
"North Carolina","2 - May 7-12, 2020","3558562","389743","44.5","4.9","8003673","8,017,566"
"North Dakota","2 - May 7-12, 2020","257984","38237","46.1","6.8","559118","561,016"
"Ohio","2 - May 7-12, 2020","3777700","424652","42.9","4.8","8808573","8,822,539"
"Oklahoma","2 - May 7-12, 2020","1386735","150048","47.6","5.1","2915519","2,916,436"
"Oregon","2 - May 7-12, 2020","1707408","130680","51.7","4","3301925","3,302,727"
"Pennsylvania","2 - May 7-12, 2020","4860890","445026","49.8","4.5","9751066","9,776,154"
"Rhode Island","2 - May 7-12, 2020","369923","71283","45.4","8.8","815129","817,559"
"South Carolina","2 - May 7-12, 2020","1807346","237883","45.6","6","3963141","3,969,123"
"South Dakota","2 - May 7-12, 2020","256371","39049","39.9","6.1","642658","642,658"
"Tennessee","2 - May 7-12, 2020","2437773","344262","47.1","6.7","5173942","5,221,475"
"Texas","2 - May 7-12, 2020","9720355","725736","45.7","3.4","21289115","21,356,906"
"Utah","2 - May 7-12, 2020","1005934","93274","44.4","4.1","2267425","2,281,207"
"Vermont","2 - May 7-12, 2020","206192","32755","42.6","6.8","483961","485,485"
"Virginia","2 - May 7-12, 2020","3082330","212504","47.7","3.3","6463974","6,472,737"
"Washington","2 - May 7-12, 2020","2610017","232740","44.4","4","5881592","5,890,357"
"West Virginia","2 - May 7-12, 2020","544834","78922","39.5","5.7","1379576","1,379,576"
"Wisconsin","2 - May 7-12, 2020","1812821","226784","40.9","5.1","4428077","4,438,719"
"Wyoming","2 - May 7-12, 2020","146523","27471","34","6.4","431047","433,400"
" -> Metro Areas","","","","","","","--"
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","2 - May 7-12, 2020","2694331","365359","51.1","7.3","5267982","5,287,525"
"Boston-Cambridge-Newton, MA-NH Metro Area","2 - May 7-12, 2020","1771444","235996","47.1","4.9","3764412","3,768,287"
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","2 - May 7-12, 2020","3209156","440850","49.2","5.6","6524967","6,641,251"
"Dallas-Fort Worth-Arlington, TX Metro Area","2 - May 7-12, 2020","3399788","454268","54.4","5.3","6254732","6,256,957"
"Detroit-Warren-Dearborn, MI Metro Area","2 - May 7-12, 2020","2163764","272213","56.7","6.3","3818391","3,822,055"
"Houston-The Woodlands-Sugar Land, TX Metro Area","2 - May 7-12, 2020","2585507","359050","50.2","5.7","5147677","5,166,765"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","2 - May 7-12, 2020","6350219","998211","57.5","6.3","11048042","11,090,032"
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","2 - May 7-12, 2020","2625941","448253","56.7","6.2","4630748","4,645,644"
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","2 - May 7-12, 2020","7465002","651916","56.2","4.1","13273165","13,311,398"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","2 - May 7-12, 2020","2425383","320578","55.7","4.9","4357416","4,376,080"
"Phoenix-Mesa-Chandler, AZ Metro Area","2 - May 7-12, 2020","1607978","232503","42.1","5.1","3816274","3,820,468"
"Riverside-San Bernardino-Ontario, CA Metro Area","2 - May 7-12, 2020","2772384","586429","62.7","7.9","4422660","4,423,647"
"San Francisco-Oakland-Berkeley, CA Metro Area","2 - May 7-12, 2020","2025324","363233","48.5","6","4178719","4,183,194"
"Seattle-Tacoma-Bellevue, WA Metro Area","2 - May 7-12, 2020","1415633","188218","45.7","5.2","3100920","3,105,929"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","2 - May 7-12, 2020","1599704","194218","38","3.6","4207574","4,235,643"
"Source: U.S. Census Bureau, Household Pulse Survey","","","","","","",""
