"Loss of Employment Income, Household Pulse Survey","","","","","","",""
"Adults in households where someone had a loss in employment income since March 13, 2020","","","","","","",""
"","","Total Loss of Employment Income","","Percent Loss of Employment Income","","",""
"North Dakota","12 - July 16-21, 2020","211682","26275","38.1","4.8","555947","561,016"
"Ohio","12 - July 16-21, 2020","4154700","367058","47.7","4","8717481","8,822,539"
"Oklahoma","12 - July 16-21, 2020","1330910","83669","45.8","2.9","2907537","2,916,436"
"Oregon","12 - July 16-21, 2020","1721403","124228","52.4","3.8","3285397","3,302,727"
"Pennsylvania","12 - July 16-21, 2020","4667236","284460","48.1","3","9701869","9,776,154"
"Rhode Island","12 - July 16-21, 2020","434586","29601","54","3.7","805378","817,559"
"South Carolina","12 - July 16-21, 2020","1810156","158120","45.7","4","3958470","3,969,123"
"South Dakota","12 - July 16-21, 2020","257975","29301","40.3","4.6","640905","642,658"
"Tennessee","12 - July 16-21, 2020","2346152","201441","45","3.9","5209320","5,221,475"
"Texas","12 - July 16-21, 2020","11384721","463372","53.5","2.2","21272209","21,356,906"
"Utah","12 - July 16-21, 2020","925003","81054","40.7","3.6","2273462","2,281,207"
"Vermont","12 - July 16-21, 2020","232417","25608","48.1","5.3","483643","485,485"
"Virginia","12 - July 16-21, 2020","2672318","196090","41.4","3","6451397","6,472,737"
"Washington","12 - July 16-21, 2020","2982260","191432","50.9","3.3","5859508","5,890,357"
"West Virginia","12 - July 16-21, 2020","624229","87459","45.5","6.4","1372178","1,379,576"
"Wisconsin","12 - July 16-21, 2020","2167178","148570","49.1","3.4","4415587","4,438,719"
"Wyoming","12 - July 16-21, 2020","204297","21662","47.3","5","431589","433,400"
" -> Metro Areas","","","","","","","--"
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","12 - July 16-21, 2020","2242745","208766","46","3.9","4877676","4,931,998"
"Boston-Cambridge-Newton, MA-NH Metro Area","12 - July 16-21, 2020","1917432","209032","52.1","4.6","3679999","3,694,650"
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","12 - July 16-21, 2020","3909749","319828","57.1","3.8","6845088","6,884,718"
"Dallas-Fort Worth-Arlington, TX Metro Area","12 - July 16-21, 2020","3002219","283148","56.3","4.2","5336510","5,345,741"
"Detroit-Warren-Dearborn, MI Metro Area","12 - July 16-21, 2020","2173444","196998","60.3","4.6","3606999","3,625,024"
"Houston-The Woodlands-Sugar Land, TX Metro Area","12 - July 16-21, 2020","3687668","359235","59.2","4.6","6224748","6,265,632"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","12 - July 16-21, 2020","6813877","600438","66","3.7","10323433","10,362,065"
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","12 - July 16-21, 2020","2560878","286200","56.6","4.7","4525232","4,554,479"
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","12 - July 16-21, 2020","8786098","663621","59.6","3.6","14752291","14,908,570"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","12 - July 16-21, 2020","2418533","258395","49.2","4.3","4916473","4,966,808"
"Phoenix-Mesa-Chandler, AZ Metro Area","12 - July 16-21, 2020","2100169","191572","52.3","4","4012701","4,051,740"
"Riverside-San Bernardino-Ontario, CA Metro Area","12 - July 16-21, 2020","2547701","385797","60.2","4.9","4235450","4,240,997"
"San Francisco-Oakland-Berkeley, CA Metro Area","12 - July 16-21, 2020","1767281","286849","50.1","3.9","3529627","3,540,050"
"Seattle-Tacoma-Bellevue, WA Metro Area","12 - July 16-21, 2020","1548914","161433","49.9","4.1","3104166","3,119,664"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","12 - July 16-21, 2020","2007450","174968","44.1","3.5","4551743","4,573,830"
"Source: U.S. Census Bureau, Household Pulse Survey","","","","","","",""
